data_source,model_base,no_image_col,image_model_col,statistic,p.value,p_adj_bonferroni,p_adj_fdr,effsize,magnitude,mean_no_images,mean_with_images,median_no_images,median_with_images,mean_diff,median_diff,significance,direction
reasoning_comparison,o3_high,o3_high,o3_images_high,24827.5,0.008718778455245955,0.06103144918672169,0.030515734117726918,0.1280036872142052,small,3.1341402116402115,2.767425595238095,3.333333333333333,2.5,-0.36671461640211644,-0.833333333333333,ns,no_images > with_images
image_comparison,o3,o3,o3_images,24827.5,0.008718781176493405,0.061031468235453835,0.030515734117726918,0.12800368202447662,small,3.1341402116402115,2.767425595238095,3.333333333333333,2.5,-0.36671461640211644,-0.833333333333333,ns,no_images > with_images
image_comparison,gpt4.1,gpt4.1,gpt4.1_images,7223,0.7879352386743406,1,0.9935439569687952,0.017497391854248208,small,2.1238492063492065,1.9307405165456013,1.45,1.4166666666666663,-0.19310868980360518,-0.03333333333333366,ns,no_images > with_images
image_comparison,gemini_2.0_flash,gemini_2.0_flash,gemini_2.0_flash_images,2170.5,0.7111475377324857,1,0.9935439569687952,0.02971857342495266,small,1.9074129651860745,2.0354010025062657,1.35,1.5773809523809523,0.12798803732019115,0.22738095238095224,ns,with_images > no_images
reasoning_comparison,o3_med,o3_med,o3_images_med,1749,0.9131718644199434,1,0.9935439569687952,0.01023934721686853,small,2.821011904761905,2.772054075867635,2.708333333333333,2.583333333333333,-0.048957828894269806,-0.125,ns,no_images > with_images
single_vs_multiple_context,gpt4.1_sc,gpt4.1_sc,gpt4.1_images_sc,1880,0.6754397521382114,1,0.9935439569687952,0.03846174763885871,small,2.2069642857142857,1.9306349206349207,1.3416666666666668,1.3833333333333333,-0.276329365079365,0.04166666666666652,ns,no_images > with_images
single_vs_multiple_context,gpt4.1_mc,gpt4.1_mc,gpt4.1_images_mc,1738,0.9935439569687952,1,0.9935439569687952,9.931819701861969e-4,small,2.040734126984127,1.9308497536945812,1.4821428571428572,1.4166666666666663,-0.10988437328954559,-0.06547619047619091,ns,no_images > with_images
