model_base,comparison,high_variant,comparison_variant,n_high,n_comparison,statistic,p.value,p_adj_bonferroni,p_adj_fdr,effsize,magnitude,high_mean,comparison_mean,mean_difference,significance
gpt5,high_vs_low,gpt5_high,gpt5_low,120,60,4778.5,3.47231575838333e-4,0.002430621030868331,0.0012153105154341654,0.3273611111111112,medium,3.3485218253968254,2.5275396825396825,0.8209821428571429,**
gpt5,high_vs_medium,gpt5_high,gpt5_med,120,60,4202.5,0.06759729389974344,0.47318105729820403,0.11829526432455101,0.16736111111111107,small,3.3485218253968254,2.973333333333333,0.37518849206349225,ns
gpt5,high_vs_minimal,gpt5_high,gpt5_minimal,120,60,5482,1.1101466131889251e-8,7.771026292322476e-8,7.771026292322476e-8,0.5227777777777778,large,3.3485218253968254,2.0367460317460315,1.3117757936507939,***
o3,high_vs_low,o3_high,o3_low,180,60,6353.5,0.04065664385886595,0.28459650701206163,0.09486550233735389,0.176574074074074,small,3.1341402116402115,2.6965873015873014,0.4375529100529101,ns
o3,high_vs_medium,o3_high,o3_med,180,60,6045,0.1661681449303003,1,0.2326354029024204,0.11944444444444446,small,3.1341402116402115,2.821011904761905,0.3131283068783066,ns
o3_images,high_vs_medium,o3_images_high,o3_images_med,240,59,6843,0.6907717546297825,1,0.6907717546297825,-0.03347457627118644,negligible,2.767425595238095,2.772054075867635,-0.004628480629540022,ns
o4mini,high_vs_medium,o4mini_high,o4mini_med,119,120,7540,0.454370163292031,1,0.5300985238407029,0.05602240896358546,negligible,2.664965986394558,2.447549603174603,0.21741638321995493,ns
